GEO_ID,NAME,Total_Estimate,Poverty_StatusBelow50,Poverty_Status50_99
1500000US170310101001,Block Group 1; Census Tract 101; Cook County; Illinois,646,40,0
1500000US170310101002,Block Group 2; Census Tract 101; Cook County; Illinois,1395,211,119
1500000US170310101003,Block Group 3; Census Tract 101; Cook County; Illinois,1586,72,66
1500000US170310102011,Block Group 1; Census Tract 102.01; Cook County; Illinois,2195,543,33
1500000US170310102012,Block Group 2; Census Tract 102.01; Cook County; Illinois,1664,229,244
1500000US170310102013,Block Group 3; Census Tract 102.01; Cook County; Illinois,1810,176,235
1500000US170310102014,Block Group 4; Census Tract 102.01; Cook County; Illinois,1909,126,306
1500000US170310102021,Block Group 1; Census Tract 102.02; Cook County; Illinois,1116,226,225
1500000US170310102022,Block Group 2; Census Tract 102.02; Cook County; Illinois,1172,18,55
1500000US170310103001,Block Group 1; Census Tract 103; Cook County; Illinois,553,20,15
1500000US170310103002,Block Group 2; Census Tract 103; Cook County; Illinois,2414,30,139
1500000US170310103003,Block Group 3; Census Tract 103; Cook County; Illinois,1118,21,89
1500000US170310103004,Block Group 4; Census Tract 103; Cook County; Illinois,1299,26,91
1500000US170310104001,Block Group 1; Census Tract 104; Cook County; Illinois,735,54,39
1500000US170310104002,Block Group 2; Census Tract 104; Cook County; Illinois,829,31,45
1500000US170310104003,Block Group 3; Census Tract 104; Cook County; Illinois,1301,154,140
1500000US170310105011,Block Group 1; Census Tract 105.01; Cook County; Illinois,825,74,79
1500000US170310105012,Block Group 2; Census Tract 105.01; Cook County; Illinois,1210,58,45
1500000US170310105013,Block Group 3; Census Tract 105.01; Cook County; Illinois,1484,87,49
1500000US170310105021,Block Group 1; Census Tract 105.02; Cook County; Illinois,1476,226,210
1500000US170310105022,Block Group 2; Census Tract 105.02; Cook County; Illinois,1712,118,54
1500000US170310105031,Block Group 1; Census Tract 105.03; Cook County; Illinois,1899,415,508
1500000US170310105032,Block Group 2; Census Tract 105.03; Cook County; Illinois,945,305,107
1500000US170310106001,Block Group 1; Census Tract 106; Cook County; Illinois,2959,29,661
1500000US170310106002,Block Group 2; Census Tract 106; Cook County; Illinois,978,47,74
1500000US170310106003,Block Group 3; Census Tract 106; Cook County; Illinois,1543,115,118
1500000US170310106004,Block Group 4; Census Tract 106; Cook County; Illinois,1074,87,32
1500000US170310107011,Block Group 1; Census Tract 107.01; Cook County; Illinois,1354,43,80
1500000US170310107012,Block Group 2; Census Tract 107.01; Cook County; Illinois,2219,55,118
1500000US170310107021,Block Group 1; Census Tract 107.02; Cook County; Illinois,1412,178,245
1500000US170310107022,Block Group 2; Census Tract 107.02; Cook County; Illinois,755,0,74
1500000US170310107023,Block Group 3; Census Tract 107.02; Cook County; Illinois,1463,63,13
1500000US170310107024,Block Group 4; Census Tract 107.02; Cook County; Illinois,1531,58,352
1500000US170310201001,Block Group 1; Census Tract 201; Cook County; Illinois,2086,64,143
1500000US170310201002,Block Group 2; Census Tract 201; Cook County; Illinois,1980,62,436
1500000US170310202001,Block Group 1; Census Tract 202; Cook County; Illinois,1827,66,31
1500000US170310202002,Block Group 2; Census Tract 202; Cook County; Illinois,1067,76,78
1500000US170310202003,Block Group 3; Census Tract 202; Cook County; Illinois,2331,106,14
1500000US170310202004,Block Group 4; Census Tract 202; Cook County; Illinois,1972,0,18
1500000US170310203011,Block Group 1; Census Tract 203.01; Cook County; Illinois,1908,41,97
1500000US170310203012,Block Group 2; Census Tract 203.01; Cook County; Illinois,1587,49,245
1500000US170310203013,Block Group 3; Census Tract 203.01; Cook County; Illinois,1398,161,51
1500000US170310203021,Block Group 1; Census Tract 203.02; Cook County; Illinois,1073,45,44
1500000US170310203022,Block Group 2; Census Tract 203.02; Cook County; Illinois,1687,0,13
1500000US170310203023,Block Group 3; Census Tract 203.02; Cook County; Illinois,1733,43,192
1500000US170310204001,Block Group 1; Census Tract 204; Cook County; Illinois,1197,141,0
1500000US170310204002,Block Group 2; Census Tract 204; Cook County; Illinois,1448,133,195
1500000US170310204003,Block Group 3; Census Tract 204; Cook County; Illinois,1657,74,125
1500000US170310205001,Block Group 1; Census Tract 205; Cook County; Illinois,3252,579,598
1500000US170310205002,Block Group 2; Census Tract 205; Cook County; Illinois,1519,426,79
1500000US170310205003,Block Group 3; Census Tract 205; Cook County; Illinois,999,81,121
1500000US170310205004,Block Group 4; Census Tract 205; Cook County; Illinois,784,58,206
1500000US170310206011,Block Group 1; Census Tract 206.01; Cook County; Illinois,1345,0,312
1500000US170310206012,Block Group 2; Census Tract 206.01; Cook County; Illinois,3372,346,713
1500000US170310206013,Block Group 3; Census Tract 206.01; Cook County; Illinois,1237,571,1
1500000US170310206021,Block Group 1; Census Tract 206.02; Cook County; Illinois,1187,141,63
1500000US170310206022,Block Group 2; Census Tract 206.02; Cook County; Illinois,1187,62,201
1500000US170310206023,Block Group 3; Census Tract 206.02; Cook County; Illinois,1155,75,55
1500000US170310206024,Block Group 4; Census Tract 206.02; Cook County; Illinois,1643,3,155
1500000US170310207011,Block Group 1; Census Tract 207.01; Cook County; Illinois,953,41,104
1500000US170310207012,Block Group 2; Census Tract 207.01; Cook County; Illinois,714,0,0
1500000US170310207021,Block Group 1; Census Tract 207.02; Cook County; Illinois,1359,16,0
1500000US170310207022,Block Group 2; Census Tract 207.02; Cook County; Illinois,2031,45,618
1500000US170310207023,Block Group 3; Census Tract 207.02; Cook County; Illinois,2758,231,117
1500000US170310207024,Block Group 4; Census Tract 207.02; Cook County; Illinois,2168,136,0
1500000US170310208011,Block Group 1; Census Tract 208.01; Cook County; Illinois,827,0,17
1500000US170310208012,Block Group 2; Census Tract 208.01; Cook County; Illinois,1391,66,0
1500000US170310208013,Block Group 3; Census Tract 208.01; Cook County; Illinois,1569,47,178
1500000US170310208014,Block Group 4; Census Tract 208.01; Cook County; Illinois,1661,132,171
1500000US170310208021,Block Group 1; Census Tract 208.02; Cook County; Illinois,1360,39,70
1500000US170310208022,Block Group 2; Census Tract 208.02; Cook County; Illinois,2839,100,253
1500000US170310208023,Block Group 3; Census Tract 208.02; Cook County; Illinois,2572,29,1
1500000US170310208024,Block Group 4; Census Tract 208.02; Cook County; Illinois,2014,148,610
1500000US170310209011,Block Group 1; Census Tract 209.01; Cook County; Illinois,2636,90,400
1500000US170310209012,Block Group 2; Census Tract 209.01; Cook County; Illinois,829,34,86
1500000US170310209013,Block Group 3; Census Tract 209.01; Cook County; Illinois,2841,614,390
1500000US170310209021,Block Group 1; Census Tract 209.02; Cook County; Illinois,2144,241,327
1500000US170310209022,Block Group 2; Census Tract 209.02; Cook County; Illinois,1652,264,213
1500000US170310301011,Block Group 1; Census Tract 301.01; Cook County; Illinois,749,52,141
1500000US170310301012,Block Group 2; Census Tract 301.01; Cook County; Illinois,565,88,0
1500000US170310301013,Block Group 3; Census Tract 301.01; Cook County; Illinois,1134,180,40
1500000US170310301014,Block Group 4; Census Tract 301.01; Cook County; Illinois,908,50,37
1500000US170310301021,Block Group 1; Census Tract 301.02; Cook County; Illinois,1111,29,181
1500000US170310301022,Block Group 2; Census Tract 301.02; Cook County; Illinois,1000,100,176
1500000US170310301023,Block Group 3; Census Tract 301.02; Cook County; Illinois,1282,176,165
1500000US170310301031,Block Group 1; Census Tract 301.03; Cook County; Illinois,720,69,244
1500000US170310301032,Block Group 2; Census Tract 301.03; Cook County; Illinois,892,51,62
1500000US170310301041,Block Group 1; Census Tract 301.04; Cook County; Illinois,1159,149,54
1500000US170310301042,Block Group 2; Census Tract 301.04; Cook County; Illinois,602,118,67
1500000US170310302001,Block Group 1; Census Tract 302; Cook County; Illinois,1532,112,71
1500000US170310302002,Block Group 2; Census Tract 302; Cook County; Illinois,1136,14,119
1500000US170310302003,Block Group 3; Census Tract 302; Cook County; Illinois,955,0,0
1500000US170310302004,Block Group 4; Census Tract 302; Cook County; Illinois,1908,238,77
1500000US170310303001,Block Group 1; Census Tract 303; Cook County; Illinois,1548,0,52
