GEO_ID,NAME,Total_Public_Transportation,PT_Lessthan10minutes_,PT_10-14mins,PT_15-19Mins,PT_20-24Mins,PT_25-29Mins,PT_30-34Mins,PT_35-44Mins,PT_45-59Mins,PT_60ORMOREMins
1500000US170310101001,Block Group 1; Census Tract 101; Cook County; Illinois,27,0,0,0,0,0,0,0,10,17
1500000US170310101002,Block Group 2; Census Tract 101; Cook County; Illinois,205,25,0,2,63,0,24,27,0,64
1500000US170310101003,Block Group 3; Census Tract 101; Cook County; Illinois,339,0,0,0,63,0,29,20,159,68
1500000US170310102011,Block Group 1; Census Tract 102.01; Cook County; Illinois,254,0,0,0,146,23,0,0,24,61
1500000US170310102012,Block Group 2; Census Tract 102.01; Cook County; Illinois,227,0,0,0,0,0,66,0,25,136
1500000US170310102013,Block Group 3; Census Tract 102.01; Cook County; Illinois,96,0,0,0,0,0,0,0,24,72
1500000US170310102014,Block Group 4; Census Tract 102.01; Cook County; Illinois,326,0,0,8,22,0,34,21,241,0
1500000US170310102021,Block Group 1; Census Tract 102.02; Cook County; Illinois,231,0,0,10,0,16,15,26,9,155
1500000US170310102022,Block Group 2; Census Tract 102.02; Cook County; Illinois,262,0,0,0,0,23,24,22,80,113
1500000US170310103001,Block Group 1; Census Tract 103; Cook County; Illinois,149,0,0,18,0,15,0,69,0,47
1500000US170310103002,Block Group 2; Census Tract 103; Cook County; Illinois,271,0,0,32,0,0,46,0,193,0
1500000US170310103003,Block Group 3; Census Tract 103; Cook County; Illinois,304,0,0,0,0,0,65,29,114,96
1500000US170310103004,Block Group 4; Census Tract 103; Cook County; Illinois,318,0,0,87,0,0,0,58,115,58
1500000US170310104001,Block Group 1; Census Tract 104; Cook County; Illinois,194,0,0,0,0,21,0,19,124,30
1500000US170310104002,Block Group 2; Census Tract 104; Cook County; Illinois,219,0,0,19,0,0,110,0,54,36
1500000US170310104003,Block Group 3; Census Tract 104; Cook County; Illinois,308,0,0,0,0,0,43,62,69,134
1500000US170310105011,Block Group 1; Census Tract 105.01; Cook County; Illinois,335,0,0,0,63,66,30,15,65,96
1500000US170310105012,Block Group 2; Census Tract 105.01; Cook County; Illinois,245,0,0,0,0,0,59,17,169,0
1500000US170310105013,Block Group 3; Census Tract 105.01; Cook County; Illinois,321,0,0,27,38,0,31,0,169,56
1500000US170310105021,Block Group 1; Census Tract 105.02; Cook County; Illinois,379,0,7,0,0,0,76,63,76,157
1500000US170310105022,Block Group 2; Census Tract 105.02; Cook County; Illinois,322,0,0,0,0,0,113,11,89,109
1500000US170310105031,Block Group 1; Census Tract 105.03; Cook County; Illinois,279,0,0,0,42,0,0,67,124,46
1500000US170310105032,Block Group 2; Census Tract 105.03; Cook County; Illinois,189,0,0,0,9,0,54,26,67,33
1500000US170310106001,Block Group 1; Census Tract 106; Cook County; Illinois,488,0,0,0,14,51,38,57,35,293
1500000US170310106002,Block Group 2; Census Tract 106; Cook County; Illinois,82,0,27,15,0,0,0,0,22,18
1500000US170310106003,Block Group 3; Census Tract 106; Cook County; Illinois,149,0,0,0,0,0,66,12,50,21
1500000US170310106004,Block Group 4; Census Tract 106; Cook County; Illinois,239,0,0,0,0,0,37,35,49,118
1500000US170310107011,Block Group 1; Census Tract 107.01; Cook County; Illinois,68,0,0,0,0,0,0,51,8,9
1500000US170310107012,Block Group 2; Census Tract 107.01; Cook County; Illinois,262,0,0,0,9,52,66,35,31,69
1500000US170310107021,Block Group 1; Census Tract 107.02; Cook County; Illinois,220,0,0,0,20,0,69,59,72,0
1500000US170310107022,Block Group 2; Census Tract 107.02; Cook County; Illinois,56,0,0,20,14,0,0,0,22,0
1500000US170310107023,Block Group 3; Census Tract 107.02; Cook County; Illinois,183,0,0,0,15,0,63,18,25,62
1500000US170310107024,Block Group 4; Census Tract 107.02; Cook County; Illinois,167,0,0,0,0,0,0,0,37,130
1500000US170310201001,Block Group 1; Census Tract 201; Cook County; Illinois,144,0,0,0,0,87,19,0,38,0
1500000US170310201002,Block Group 2; Census Tract 201; Cook County; Illinois,91,0,0,0,0,0,9,0,0,82
1500000US170310202001,Block Group 1; Census Tract 202; Cook County; Illinois,69,0,0,0,9,0,0,0,12,48
1500000US170310202002,Block Group 2; Census Tract 202; Cook County; Illinois,96,0,0,0,48,0,42,0,0,6
1500000US170310202003,Block Group 3; Census Tract 202; Cook County; Illinois,0,0,0,0,0,0,0,0,0,0
1500000US170310202004,Block Group 4; Census Tract 202; Cook County; Illinois,193,0,0,0,0,0,120,0,0,73
1500000US170310203011,Block Group 1; Census Tract 203.01; Cook County; Illinois,99,0,0,0,0,0,10,28,0,61
1500000US170310203012,Block Group 2; Census Tract 203.01; Cook County; Illinois,0,0,0,0,0,0,0,0,0,0
1500000US170310203013,Block Group 3; Census Tract 203.01; Cook County; Illinois,114,0,0,0,0,0,0,0,98,16
1500000US170310203021,Block Group 1; Census Tract 203.02; Cook County; Illinois,114,0,0,0,0,0,0,5,85,24
1500000US170310203022,Block Group 2; Census Tract 203.02; Cook County; Illinois,199,0,0,0,0,0,48,0,128,23
1500000US170310203023,Block Group 3; Census Tract 203.02; Cook County; Illinois,61,0,0,0,0,0,0,10,29,22
1500000US170310204001,Block Group 1; Census Tract 204; Cook County; Illinois,41,0,0,0,0,0,0,0,23,18
1500000US170310204002,Block Group 2; Census Tract 204; Cook County; Illinois,101,0,0,0,30,6,5,24,25,11
1500000US170310204003,Block Group 3; Census Tract 204; Cook County; Illinois,143,0,0,0,0,16,18,17,66,26
1500000US170310205001,Block Group 1; Census Tract 205; Cook County; Illinois,220,0,33,0,0,44,0,0,0,143
1500000US170310205002,Block Group 2; Census Tract 205; Cook County; Illinois,234,0,0,0,0,0,0,0,114,120
1500000US170310205003,Block Group 3; Census Tract 205; Cook County; Illinois,48,0,0,0,0,0,0,0,0,48
1500000US170310205004,Block Group 4; Census Tract 205; Cook County; Illinois,0,0,0,0,0,0,0,0,0,0
1500000US170310206011,Block Group 1; Census Tract 206.01; Cook County; Illinois,0,0,0,0,0,0,0,0,0,0
1500000US170310206012,Block Group 2; Census Tract 206.01; Cook County; Illinois,122,0,0,0,49,0,4,0,0,69
1500000US170310206013,Block Group 3; Census Tract 206.01; Cook County; Illinois,58,0,0,0,0,0,0,0,0,58
1500000US170310206021,Block Group 1; Census Tract 206.02; Cook County; Illinois,10,0,0,0,0,0,0,10,0,0
1500000US170310206022,Block Group 2; Census Tract 206.02; Cook County; Illinois,71,0,0,0,0,0,0,20,0,51
1500000US170310206023,Block Group 3; Census Tract 206.02; Cook County; Illinois,45,0,0,0,8,0,0,0,0,37
1500000US170310206024,Block Group 4; Census Tract 206.02; Cook County; Illinois,16,0,0,0,0,0,0,1,7,8
1500000US170310207011,Block Group 1; Census Tract 207.01; Cook County; Illinois,31,0,0,0,0,0,0,0,11,20
1500000US170310207012,Block Group 2; Census Tract 207.01; Cook County; Illinois,14,0,0,0,0,0,0,0,0,14
1500000US170310207021,Block Group 1; Census Tract 207.02; Cook County; Illinois,102,0,86,0,0,0,0,0,0,16
1500000US170310207022,Block Group 2; Census Tract 207.02; Cook County; Illinois,64,0,0,0,0,0,32,26,0,6
1500000US170310207023,Block Group 3; Census Tract 207.02; Cook County; Illinois,53,0,0,0,0,0,10,0,43,0
1500000US170310207024,Block Group 4; Census Tract 207.02; Cook County; Illinois,75,0,0,0,0,0,0,0,0,75
1500000US170310208011,Block Group 1; Census Tract 208.01; Cook County; Illinois,77,0,0,0,0,0,0,15,27,35
1500000US170310208012,Block Group 2; Census Tract 208.01; Cook County; Illinois,63,0,0,0,0,26,0,0,20,17
1500000US170310208013,Block Group 3; Census Tract 208.01; Cook County; Illinois,74,0,0,0,0,0,0,0,51,23
1500000US170310208014,Block Group 4; Census Tract 208.01; Cook County; Illinois,0,0,0,0,0,0,0,0,0,0
1500000US170310208021,Block Group 1; Census Tract 208.02; Cook County; Illinois,20,0,0,0,0,0,19,1,0,0
1500000US170310208022,Block Group 2; Census Tract 208.02; Cook County; Illinois,43,0,22,0,0,0,0,0,0,21
1500000US170310208023,Block Group 3; Census Tract 208.02; Cook County; Illinois,26,0,0,0,0,0,13,0,13,0
1500000US170310208024,Block Group 4; Census Tract 208.02; Cook County; Illinois,77,0,0,0,0,0,70,0,7,0
1500000US170310209011,Block Group 1; Census Tract 209.01; Cook County; Illinois,227,0,0,0,24,0,0,0,177,26
1500000US170310209012,Block Group 2; Census Tract 209.01; Cook County; Illinois,50,0,0,0,0,0,0,0,16,34
1500000US170310209013,Block Group 3; Census Tract 209.01; Cook County; Illinois,334,0,0,0,22,0,0,0,102,210
1500000US170310209021,Block Group 1; Census Tract 209.02; Cook County; Illinois,134,0,0,12,0,0,0,0,8,114
1500000US170310209022,Block Group 2; Census Tract 209.02; Cook County; Illinois,24,0,0,13,0,0,0,0,11,0
1500000US170310301011,Block Group 1; Census Tract 301.01; Cook County; Illinois,247,0,0,0,0,0,0,105,74,68
1500000US170310301012,Block Group 2; Census Tract 301.01; Cook County; Illinois,93,0,0,0,13,0,9,13,20,38
1500000US170310301013,Block Group 3; Census Tract 301.01; Cook County; Illinois,166,0,0,19,0,21,0,0,31,95
1500000US170310301014,Block Group 4; Census Tract 301.01; Cook County; Illinois,145,0,0,0,10,61,22,32,12,8
1500000US170310301021,Block Group 1; Census Tract 301.02; Cook County; Illinois,144,0,0,0,0,0,6,21,92,25
1500000US170310301022,Block Group 2; Census Tract 301.02; Cook County; Illinois,288,0,0,0,19,8,71,76,90,24
1500000US170310301023,Block Group 3; Census Tract 301.02; Cook County; Illinois,218,0,33,0,14,32,10,29,66,34
1500000US170310301031,Block Group 1; Census Tract 301.03; Cook County; Illinois,212,0,0,0,0,0,7,87,41,77
1500000US170310301032,Block Group 2; Census Tract 301.03; Cook County; Illinois,325,0,0,0,14,8,54,0,141,108
1500000US170310301041,Block Group 1; Census Tract 301.04; Cook County; Illinois,146,0,0,0,0,0,19,0,84,43
1500000US170310301042,Block Group 2; Census Tract 301.04; Cook County; Illinois,132,0,22,3,0,5,42,0,20,40
1500000US170310302001,Block Group 1; Census Tract 302; Cook County; Illinois,297,0,0,6,0,10,34,51,109,87
